GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,SUM_TIME_PLAYED,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,EFG_PCT,AST_PCT,AST_TO,REB_PCT
-1628983-1629652-1630598-1631096-1642349-,S. Gilgeous-Alexander - L. Dort - A. Wiggins - C. Holmgren - A. Mitchell,7,7,0,1.0,13.28,0.586,0.6,1.0,4,9,13,10,4.0,3,2,50,19.0,39840,156.3,103.3,52.9,112.05,0.779,0.741,0.588,2.5,0.652
-1627936-1628983-1629652-1631096-1642349-,A. Caruso - S. Gilgeous-Alexander - L. Dort - C. Holmgren - A. Mitchell,7,5,2,0.714,13.09,0.462,0.3,0.833,5,7,12,6,0.0,1,0,32,6.0,39270,118.5,104.0,14.5,95.34,0.559,0.519,0.5,0.0,0.536
-1629026-1631172-1642382-1642959-1642964-,K. Williams - O. Dieng - B. Carlson - C. Youngblood - B. Barnhizer,3,3,0,1.0,12.95,0.5,0.429,0.333,1,10,11,8,3.0,1,1,25,-9.0,38850,96.2,130.8,-34.6,96.37,0.552,0.575,0.8,2.67,0.458
-1627936-1628392-1628983-1629652-1641717-,A. Caruso - I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Wallace,5,4,1,0.8,12.693333,0.409,0.222,0.667,2,7,9,2,3.0,1,2,24,-1.0,38080,92.3,96.2,-3.8,98.32,0.487,0.455,0.222,0.67,0.357
-1628983-1631096-1631114-1631119-1641717-,S. Gilgeous-Alexander - C. Holmgren - J. Williams - J. Williams - C. Wallace,1,1,0,1.0,12.483333,0.667,0.4,1.0,1,10,11,9,2.0,2,0,36,12.0,37450,150.0,96.0,54.0,94.21,0.791,0.762,0.643,4.5,0.611
-1627936-1628983-1630598-1642349-1642382-,A. Caruso - S. Gilgeous-Alexander - A. Wiggins - A. Mitchell - B. Carlson,3,2,1,0.667,12.448333,0.542,0.222,1.0,2,6,8,6,3.0,3,1,36,-2.0,37345,128.6,140.7,-12.2,106.04,0.654,0.583,0.462,2.0,0.381
-1628392-1628983-1630198-1641717-1642349-,I. Hartenstein - S. Gilgeous-Alexander - I. Joe - C. Wallace - A. Mitchell,5,3,2,0.6,12.331667,0.464,0.167,0.889,5,6,11,6,1.0,4,0,36,8.0,36995,128.6,100.0,28.6,108.99,0.563,0.5,0.462,6.0,0.52
-1629026-1630198-1631096-1631114-1642349-,K. Williams - I. Joe - C. Holmgren - J. Williams - A. Mitchell,2,2,0,1.0,12.216667,0.588,0.5,0.857,1,10,11,8,6.0,1,2,29,1.0,36650,116.0,116.7,-0.7,96.26,0.722,0.676,0.8,1.33,0.619
-1627936-1628983-1630598-1631119-1641717-,A. Caruso - S. Gilgeous-Alexander - A. Wiggins - J. Williams - C. Wallace,5,4,1,0.8,12.016667,0.333,0.4,0.833,5,8,13,4,2.0,3,1,25,2.0,36050,104.2,92.0,12.2,97.86,0.469,0.417,0.5,2.0,0.467
-1631096-1631114-1631119-1641717-1642349-,C. Holmgren - J. Williams - J. Williams - C. Wallace - A. Mitchell,2,2,0,1.0,11.8,0.619,0.4,0.333,1,10,11,9,4.0,3,1,32,12.0,35400,123.1,76.9,46.2,105.76,0.677,0.714,0.692,2.25,0.583
-1628983-1629652-1630598-1631096-1641717-,S. Gilgeous-Alexander - L. Dort - A. Wiggins - C. Holmgren - C. Wallace,6,5,1,0.833,11.771667,0.45,0.125,0.6,2,8,10,3,3.0,3,3,22,-2.0,35315,88.0,88.9,-0.9,106.02,0.495,0.475,0.333,1.0,0.393
-1627936-1628983-1629652-1631119-1641717-,A. Caruso - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,6,5,1,0.833,11.75,0.25,0.125,0.813,2,8,10,1,1.0,2,2,22,-6.0,35250,84.6,107.7,-23.1,106.21,0.477,0.281,0.25,1.0,0.462
-1628983-1629026-1629652-1630598-1631096-,S. Gilgeous-Alexander - K. Williams - L. Dort - A. Wiggins - C. Holmgren,3,2,1,0.667,11.705,0.368,0.1,0.75,1,9,10,4,3.0,3,1,18,-1.0,35115,78.3,82.6,-4.3,94.32,0.434,0.395,0.571,1.33,0.367
-1627936-1628983-1630598-1631119-1642349-,A. Caruso - S. Gilgeous-Alexander - A. Wiggins - J. Williams - A. Mitchell,4,3,1,0.75,11.666667,0.423,0.273,1.0,5,6,11,5,1.0,2,0,31,4.0,35000,124.0,112.5,11.5,100.8,0.541,0.481,0.455,5.0,0.44
-1627936-1628983-1629026-1631119-1642349-,A. Caruso - S. Gilgeous-Alexander - K. Williams - J. Williams - A. Mitchell,3,2,1,0.667,11.433333,0.619,0.455,1.0,0,10,10,10,0.0,1,3,33,16.0,34300,137.5,70.8,66.7,100.76,0.754,0.738,0.769,0.0,0.6
-1629026-1630598-1642260-1642382-1642964-,K. Williams - A. Wiggins - N. Topić - B. Carlson - B. Barnhizer,2,2,0,1.0,11.183333,0.417,0.364,0.5,4,9,13,7,3.0,2,1,25,-2.0,33550,100.0,112.5,-12.5,105.16,0.502,0.5,0.7,2.33,0.556
-1628392-1629652-1630598-1631096-1642349-,I. Hartenstein - L. Dort - A. Wiggins - C. Holmgren - A. Mitchell,2,2,0,1.0,11.166667,0.348,0.4,0.857,5,13,18,6,3.0,2,0,24,6.0,33500,100.0,72.0,28.0,105.31,0.46,0.391,0.75,2.0,0.576
-1628983-1630198-1631119-1642349-1642382-,S. Gilgeous-Alexander - I. Joe - J. Williams - A. Mitchell - B. Carlson,5,4,1,0.8,11.061667,0.417,0.25,0.714,5,7,12,4,2.0,1,1,29,-5.0,33185,116.0,125.9,-9.9,112.82,0.535,0.5,0.4,2.0,0.542
-1627936-1628983-1631096-1631114-1641717-,A. Caruso - S. Gilgeous-Alexander - C. Holmgren - J. Williams - C. Wallace,5,2,3,0.4,10.515,0.5,0.556,1.0,2,6,8,7,2.0,4,2,29,6.0,31545,126.1,100.0,26.1,104.99,0.634,0.614,0.636,3.5,0.474
-1627936-1628392-1628983-1641717-1642349-,A. Caruso - I. Hartenstein - S. Gilgeous-Alexander - C. Wallace - A. Mitchell,5,3,2,0.6,10.5,0.524,0.364,1.0,4,10,14,8,4.0,2,2,32,13.0,31500,133.3,82.6,50.7,107.43,0.677,0.619,0.727,2.0,0.6
-1628392-1628983-1629652-1630198-1641717-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - I. Joe - C. Wallace,5,4,1,0.8,10.498333,0.368,0.444,0.667,2,7,9,4,3.0,4,2,22,-2.0,31495,91.7,109.1,-17.4,105.16,0.508,0.474,0.571,1.33,0.458
-1628392-1628983-1629652-1641717-1642349-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Wallace - A. Mitchell,7,7,0,1.0,10.461667,0.353,0.222,1.0,1,7,8,4,2.0,1,1,22,-11.0,31385,95.7,143.5,-47.8,105.53,0.536,0.412,0.667,2.0,0.474
